	id	sentence1	sentence2	similarity
2465	57faf6247b1b6026f59ca71f0	Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.	Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.	4.4
6611	6597fc84528eea44f45c16fed	I can imagine a scenario where a single, all-powerful god creates the universe we know.	It is the same idea as what Aristotle called the unmoved mover.	0.8
467	fa8a49a239d979dc97018eced	A cat is drinking some water.	A truck is going down a hill.	0.0
897	17d7cc03612e87755bc8b7703	A woman is doing a Joker makeup on a man.	The girl made up a man.	1.8
5704	1c3f78ea655e6bf9bf6391a24	Taiwan's coast guard launches new ships in response to rising tensions in the South China Sea	China reaches out to the international community amid South China Sea tensions	2.0
3049	a4a2b8a3bcac3379320238bfc	Covello said that whatever you've suffered as punishment is likely more than enough, at 49, surrounded by his family, friends, and supporters who filled half the courtroom.	Covello said that what had happened to you, sir, as a form of punishment, is certainly more than enough.	3.0
416	3f33ec9a088d92efb5dfbddf2	A person is peeling a potato.	A cat is licking a small bottle.	0.0
2919	27b649cdc3bd975e3d569516a	He was listed in critical but stable condition at Kings County Hospital Center, police said, after being admitted the previous night.	The victim, a New Jersey resident, was in critical but stable condition at the hospital.	3.25
3544	bc222e5c6f35763498b824bb3	Government spokesman Maseko stated that if administrative papers are in order, the government of South Africa cannot intervene to prevent weapons from being transported through its territory to a landlocked country neighboring it.	Spokesman Themba Maseko stated that as long as administrative papers are in order, South Africa cannot intervene to prevent weapons being transported through its territory to Zimbabwe.	2.8
2567	653f351ead54e66f44f50d204	The Nasdaq index, heavily influenced by technology, added 1.16 points to 1,504.04.	The Nasdaq Composite index, which includes many technology stocks, has recently risen by 18 points.	2.2
2669	a425a49569534babf386a2fce	American Masters: Arthur Miller, Elia Kazan and the Blacklist: No One Without a Stain (Wed.	"Note the subheading of this disappointing parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."""	3.0
5402	9ef2444e774e5b640e71220e0	Yolanda death toll climbs to 3,621	Kenya Red Cross says death toll rises to 68	0.4
4286	299789f0509ba3ef1d808b166	Syrian forces are moving to retake Aleppo	The Syrian regime is trying to retake the city of Aleppo	4.4
2585	0517f177d5dfdf59f461d8e0e	Three Weeks in October goes on sale Monday, roughly a year after the Washington, D.C.-area sniper shootings began.	Moose's book goes on sale Monday, nearly a year after the sniper shootings started in the Washington area.	3.25
8105	ac9673ac6be08f5567b78d6f7	Microwave would likely be your best bet.	Your best bet is research.	0.0
5723	eadf9cb8eaae282352e0fc72f	China's generous 1MDB bid is seen reaping significant returns in Malaysia.	China keeps a close eye on the visiting tiger released by the Russian President.	0.0
7449	7770ac29a127d2046e58d1518	The woman is slicing tofu.	The woman is applying lipstick.	0.4
3480	e040c99df3a15cea6c43368aa	General Nikolai N. Urakov stated by telephone that the state scientific center of applied microbiology has reliable emergency response systems.	Nikolai N. Urakov is the longtime director of the State Scientific Center of Applied Microbiology.	2.4
2712	8c79eea6b20e1202fca9bacc8	Cisco has signed similar deals with AT&T Corp., T.N, SBC Communications Inc. and Sprint Corp.	Cisco has similar relationships with BellSouth competitors SBC Communications, AT&T and Sprint Communications.	4.0
7424	3ec3041ac990c7cf135d9bb07	A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.	2.6
8165	13983545795da6f3a6a8a0270	Mr Eddington warned yesterday that the fate of the airline was in the hands of the negotiators.	Eddington said the future of BA is in the hands of the negotiators, he told British Broadcasting Corp. television on Sunday.	3.4
1902	ec99ce79336e385dcc7580176	A woman is holding a newspaper.	A man rollerblades on a metal rail.	0.0
3930	8db4378a53db9cd05509d4c26	Thousands more Syrian refugees fled to Turkey overnight	8,000 Syrian refugees fled to Turkey overnight	3.8
702	718ae9559fcefb054890c3458	A man is playing the flute.	A woman is applying eyeliner.	0.0
4786	e81277212bbace25cd8290105	North Korean cargo reveals a missile repair trade with Cuba	A North Korean ship carrying Cuban missiles was seized	2.8
3199	26aca6e3837056f879653fb89	Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit, driven by a 12 percent jump in same-store sales.	Home Depot reported a 22% jump in third-quarter profit, driven by a nearly 8% rise in same-store sales.	1.4
4618	6fd6be1b31fa44c65b63a3cdc	Hushen 300 Index closes higher on October 14	Hushen 300 Index closes lower -- March 12	2.0
3399	9605c614f0f2b3eb7d1d12205	The district also sent letters yesterday informing parents of the situation.	Parents received letters informing them of possible contamination yesterday.	3.0
6658	34e18c460dfaa2c50915d66ec	Your brain is already starting to unwind as you see the end in sight.	I'm writing you a few tips to help you with motivation.	0.4
8391	ac4d4d895d0ae868bbc882bcd	Tehran: EU sanctions won't push Iran into nuclear talks	Low expectations for Iran nuclear talks	1.8
2685	5faf8278b3563b730a8251a22	The broader Standard & Poor's 500 Index advanced 2 points, or 0.24 percent, to 977.	The Nasdaq Composite Index .IXIC fell 6.52 points, or 0.39 percent, to 1,645.66.	0.8
8533	1bf0b765c915011e3a45f5b53	Twelve people were killed in a bomb blast on a Pakistani train.	Gunmen kill nine people in southwest Pakistan, police say	2.0
6360	36b9e2215efdd2de587092b9e	A man takes his dog for a walk on the beach.	A man is walking his dog on the beach.	4.4
286	b083a7d2a2ccbab941e4f8dba	A woman is cutting butter.	A woman slices tofu.	1.8
1630	b860efcf6884dc8d08c22598d	Three people are gliding on ice skates.	Three ice skaters turn a corner.	3.2
5455	f3f0798edd0073ed39efd1fe5	Philip leaves hospital after 11 days	Mandela leaves hospital after 10 days	1.8
503	632fdd25065e7edeffdd015c6	A man is playing the guitar.	A man is playing the flute.	2.2
682	c1b62fbf437c093b32cc8b142	A man is dancing on the road.	A man is dancing.	3.25
8266	4c142990c0697c7a7311954f8	He was tracked to Atlanta and arrested on Tuesday night.	He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.	2.5
1410	9a5c2aa32427d292946cf0670	An orange kitten lay on a leather couch.	A young couple is sitting on a black couch.	0.8
4411	0a1a3028d1e899b73917c1214	The French parliament backs reform of law on prostitution	Russian parliament to consider ban on US adoptions	0.8
4472	c1e86791e91d4d540671e607d	Boy Scouts delay decision on admitting gays	Boy Scouts of America delays vote on lifting ban on LGBTQ individuals.	5.0
2293	7a6779ce66ae0cdff310f18bd	It's definitely not what it used to be.	I voted, it's clear that it's not what it used to be.	4.0
191	585ffbb613ea73a2d23356afc	A woman is doing weight exercises.	A woman is styling her hair.	0.5
3851	5241591ed3238d0e1147b3bbc	Iran will attack Tel Aviv if Israel strikes	Senior cleric: Iran will attack Tel Aviv if Israel strikes	4.4
3030	ae971e2708a47b1e2bd7d73b1	The government recently shelved peace talks with the MILF, facilitated by Malaysia, after a string of deadly attacks, including three bombings, in Mindanao.	The government recently shelved peace talks brokered by neighboring Malaysia after a spate of attacks on Mindanao, including three deadly bombings, that it blamed on the MILF.	4.25
6104	6d832e0a87306b04885cc6f36	A boy is lying on the couch with a small white dog.	A small boy is lying on a sofa with a dog.	4.0
590	56eae4a5777257e5406ffec05	A girl is styling her hair.	A girl is getting a manicure.	1.25
3925	cf184f396669024d458b44f44	Six people, including two Kenyan ministers, were killed in a plane crash	Poland honors president killed in 2010 plane crash	0.8
3600	0b8207cb827770f68f47c3108	The Chinese government provided active cooperation and assistance to the organization for the prohibition of chemical weapons and inspections.	The Ecuadorian foreign ministry said in a statement that delegates from the Organization for the Prohibition of Chemical Weapons (OPCW) will also take part in the meeting.	1.0
93	dbe21a66def6a5c8ac5aae3ca	A man is fishing.	A man is exercising.	0.5
5643	c7dfa36710361010c9ae88c38	Malaysia Airlines plane crashes on Ukraine-Russia border - live	US: Russia is massing troops on the Ukraine border	0.0
2930	c3bd05a9206a31e16562ee535	Two Kuwaitis and six Palestinians with Jordanian passports were among the suspects, the official said.	They include two Kuwaitis and six Palestinians with Jordanian passports, and the remainder are Iraqis and Saudis, the official said.	3.0
6464	e92cff761e51247d39a9667eb	Yes, your sentence will be clearer if you use the actual word instead of the slash.	"Most style guides recommend against using the slash in phrases like ""X and/or Y"", or ""this is hard to do"""	3.4
5987	a0ddb1cf663a4d308f31d83a0	A man plays the guitar and sings.	A man is singing and accompanying himself on the guitar.	5.0
8425	e6f5a5887ce64b0c27a34fada	The Red Cross says some Syria violence amounts to civil war	Some Syria violence qualifies as civil war -Red Cross	4.4
4772	77a6f30b7c1a610e4143888f2	An Austrian found a home museum storing 56 stolen skulls.	An Austrian man has been charged after 56 human skulls were found at his home.	4.4
4609	da39138289bd9371a55af8828	A suicide bomber killed 13 people in southern Russia	A suicide bomber killed 16 people in Volgograd, Russia.	1.8
2044	348038409677241213285fcf3	Quel est le point de divergence fondamental, s'il vous plaît?	What's the fundamental difference?	4.6
4294	785d7dc09e5b6e972b0435300	Syria rebels leave besieged Homs	Syrian rebels retreat from besieged Homs district	4.4
6622	2a1ec148282fbb3e834f9b71b	Here are several samples: Pbase.com Out of the 16,000 photos, it's likely that some were taken with a D700.	It's a 1:1 lens, which means that the size of the subject will be reproduced exactly on the sensor.	0.6
6569	bc461da406baa53c81f13c414	Most doctors recommend rice cereal as the first choice, as it's very rare for babies to have an allergic reaction.	Eating with a spoon must be an unusual experience for them.	0.67
1658	a35a2d8f9bc14a29ce84b538d	A black and white dog is running across the field.	A black and white dog is running in the grass.	4.8
5814	93db548149540ce947e38d8ad	A man is making a bed.	A woman is playing the guitar.	0.0
3808	f78a5b9a692d6acf6c5218f73	The US and Turkey are considering no-fly zones for Syria.	The US and Turkey strengthen their coordination on Syria.	2.2
4154	e7fd6928a2e0885f6d5e3bec4	Edwards was acquitted on one count, mistrial on others	Edwards was found not guilty on one count; mistrial on others.	4.6
2385	e8cbf945733a394ac6ce5dbb4	I hope everything is okay.	I hope everything is okay.	5.0
1208	2ff5ca5c2aaa0f0676fed831c	The two dogs blend in with the plush toys.	Two dogs are sitting on a couch with many stuffed animals.	3.4
5589	71c0cb94d53f31f5a62ff9c8e	Israel agrees to a 12-hour ceasefire	Israel agrees to a 24-hour Gaza ceasefire	3.0
5330	d57372d841f1a571f6883326e	The US makes its case for action against Syria.	Saudi urges UN action against Israeli strikes on Syria.	2.4
64	73f32e3b9833149e3ab811816	A man is riding a motorcycle.	A man is riding a horse.	1.4
4612	5ed45992dbebde1b0ffbbb033	The eurozone hits a new record high for unemployment	EU jobless hits fresh record	4.4
822	d23c06ac04016a3ca85928d18	A man is playing the trumpet.	Someone is playing with a toad.	0.8
4764	f0d2bfd69398a6dbeeb437745	Indian troops killed a Pakistani soldier in the Kashmir region.	Indian troops raided a Pakistani military post	1.2
1673	9ba5ebe5e24f31fa83f19968f	Three dogs were having fun in the water.	Three dogs run in the snow.	1.4
2108	37b67896a1bb39f40dd09cd28	The message of all the scriptures is unity.	Originally posted by SolInvictus Ah.	2.4
7315	7c9db3c2452c062bdbf828e68	A woman is peeling shrimp.	A man is siphoning water.	0.2
3119	24f20ffb5b505bf9aab791bc2	That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia.	His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.	4.0
1473	2fb66378c2285c14059cc3a9d	A small boat is near a plane on the water.	A boat is in the water and a small airplane is moored at the dock.	3.4
3845	a5fbed3d653c7652b6baf568c	One death occurred in a school shooting in Ohio.	One person was killed and four others were injured in a school shooting in Ohio.	3.2
8591	a25baedf7b72193555c30b5ce	Luxembourg's PM resigns amid eavesdropping scandal	Luxembourg votes after a spying scandal.	2.2
3548	e687db7cd4dd81897ca192555	Syria denies having an undeclared nuclear program.	Syria denies having an undeclared nuclear program.	5.0
6470	4dfce823139feb2c8189a2bb5	Running downhill is the best way to strengthen your quadriceps muscles.	In reality, people tend to think that a downhill marathon is easier, but it's often harder than an uphill marathon.	2.0
6295	ac8e5cd9555c2b5b6defdc0ef	A young boy has a red fishing pole.	A young boy stands on a bridge holding a fishing rod.	3.0
7307	bf6585c17403a307e7a3fa297	Some men are sawing.	Men are sawing logs.	3.4
1668	59e16ef17e88106ff7fd2fa1e	A man is holding onto a handle in the water.	A man is holding onto handles in the air.	3.2
6607	767d1343e6a9119141266a74f	"Forget for a moment that you ever learned anything about so-called ""complex"" or ""imaginary"" numbers."	As others have already pointed out, numbers are indeed abstractions.	1.2
5564	6af1e0b3112452bb05938be12	Silvio Berlusconi was expelled from Italy's parliament	Silvio Berlusconi was expelled from parliament	4.0
2670	64eca691f275e0e2b74aa907b	That package included increases for both the city's sales and income taxes.	He also objects to the sales and personal income tax increases included in the package.	2.0
532	dad36cffa68aa1537da529b07	A cow is eating grass.	A cow is eating hay.	3.8
4951	6511428c5125ee9816a79c1aa	Algeria hostage crisis ends; death toll unclear	Algeria hostage crisis ends in bloodbath	3.8
291	3ec61509da6cad9f97d28555a	A woman is chopping some vegetables.	The woman is mincing garlic.	2.8
240	63be56cf0edaff226c119a2f9	Butter is melting in a pan.	A man is melting butter in a pan.	3.6
7366	6ace39093d3d04659ef27583a	A man is cycling.	A boy is riding a bicycle.	2.5
6094	bce4ccb72dd0ac9b47498b373	A woman is leading a white horse.	A gentleman on a white horse in a tuxedo.	2.0
6451	3477ffafbb02c01b83225ddc8	Firstly, it is essential to understand that there are two kinds of dashes: the en dash and the em dash.	Semicolon is used to join sentences that can stand alone, but are joined to emphasize their connection.	0.6
2182	d081d2e6a58be64d7edcf1a4f	Those who forget history are doomed to repeat it.	Those who ignore history are doomed to repeat it, as the saying goes.	4.2
6778	a463d265c29a31d7f16d395d3	On Friday, rebel gunmen in Mosul killed a Sunni Muslim tribal leader who backed the coalition.	Near a mosque in the northern town of Mosul, rebel fighters also killed a Sunni Muslim tribal leader who backed the coalition.	4.6
7504	1d9056822794a59560538fc29	A man is present with a bicycle at a coffee house.	A man is walking his bicycle to the patio of a coffee shop.	3.2
300	7db7b1c079319cdde9acb6b6a	A woman crushes garlic cloves.	A woman is breaking a head of garlic into cloves.	4.6
7183	3e7a806314092baee35a86b70	Fatah endorses refusal to recognize Israel	Pakistan Condemns Latest Drone Attack	0.2
6380	87f85ec6f77b2aaf49ca0977a	My answer would depend on which GRE you're referring to?	The problem I see with the GREs is that the scoring range is very narrow.	1.0
5008	09f282023dfb20f0fdb6e5f75	The EU extends sanctions against Russia	Nigeria drops arms trafficking charges against Russian sailors	0.4
8506	6cc392351fde45ffd30747977	Nobel Prize-winning author Doris Lessing has died.	Nobel laureate Doris Lessing has died at 94.	4.6
5917	b738763c8976be86a5d8dfc18	A man is playing the guitar.	A man is cleaning a CD.	0.833
3290	68f851d412641f73dfbd90aac	The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.	The unidentified victim was taken to Kings County Hospital, where she was pronounced dead.	4.333
3813	4c2b3928824ad9c818c3d21f0	Rimsha Masih was released on bail after a period of imprisonment.	Mandela was released from hospital after his recovery	0.0
6882	14496245616cac9c477900633	U.S. District Judge Edmund Sargus ruled that the Akron-based company should have assessed the impact of changes at one of its facilities, which would have increased overall pollution emissions.	FirstEnergy Corp. should have found that modernizing one of its facilities would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.	3.6
8099	75d09f96e7f92a57e4b65d3e6	It depends on your goals and preferred location.	It depends on your plans and destination.	4.0
7381	72a47723e3636eefada583323	A man is peeling a potato.	A man is slicing a potato.	2.6
542	55d812d1b63222879a2022c48	A man jumps into a pool.	A man is diving into a pool.	5.0
4166	5a2acac295226b2047fe3fe76	The British Archbishop of Canterbury is leaving the church to pursue a career in Cambridge.	The Archbishop of Canterbury is stepping down due to rifts	2.4
989	c26c80c5f431b822163b86337	A little girl is playing the guitar.	A boy is playing the piano among the crowd.	1.0
4336	37067a627b89e8b9ca4ef32b1	US lawmakers take a new step towards imposing sanctions on Iran.	Somali lawmakers are set to elect a new president.	0.2
4758	9b55d7c47ae0e000cd42fa7d7	The US is preparing a possible solo action against Syria.	The US is making a case for action against Syria.	3.4
1835	6251aa65604a22ed851035fe9	A little boy is clowning around with a colander on his head.	A boy is wearing a metal colander on his head.	4.2
5749	781d9ddccc8e4b846c5243335	A man wearing a hard hat is dancing.	A man wearing a hard hat is dancing.	5.0
162	3c2a5f9920f45285a1595a5f9	A musician is playing the flute in a band.	A man is playing the guitar.	1.6
3348	b6d73b37035c2f84c038b3574	State police said as many as 30 workers were trapped immediately after the garage collapsed.	According to the state police, at least 30 people were initially trapped inside.	4.0
5538	225c1bfc8088648c9313da029	Iran's president strongly condemns the use of chemical weapons in Syria.	Probe alleged use of chemical weapons in Syria	1.6
2927	eca32cbbcf67b2edb14721230	The woman was hospitalized on June 15, according to Kansas health officials.	Missouri health officials said he had not been hospitalized and is recovering.	1.0
3310	1c77276e6cd38039eb773c546	Garner said the self-proclaimed mayor of Baghdad, Mohammed Mohsen al-Zubaidi, was released after two days in coalition custody.	Garner said the self-proclaimed Baghdad mayor, Mohammed Mohsen Zubaidi, was released 48 hours after his detention in late April.	4.25
4147	779da7aa3f31fd6fe60c72e7a	At least 80 people have died in northwest Iran quakes.	180 dead, 1,300 injured in northwest Iran earthquakes	2.6
7880	14dae3d300d8b5dc7180db457	You don't need to worry.	You don't have to worry.	5.0
8619	d074076d1d5ddbc8f10480eda	Waba emerges new NLC president	Waiting for the next president	1.0
600	bc397b9a6c2442ea25ba19256	A boy and a girl are dancing in the rain.	A man and a woman are dancing in the rain.	2.6
8317	03579f967829fcba472316e12	Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.	The judge scheduled another oversight hearing for late January.	2.8
8534	36505ea99561f48d91cd3e940	Powerful quake strikes off eastern Indonesia	A powerful 6.6-magnitude quake strikes off eastern Indonesia	4.0
5483	47e240789153c755fa49f892d	Three people died and one was injured in a shooting at an oceanfront motel in South Carolina.	4 dead, 30 injured in train collision near Moscow	0.2
6584	db2eddf490ac3fd88934e0b56	Cover the entrance to the doorway with an old carpet and secure it with staple guns.	You sparked my curiosity with that question, and I started exploring it.	0.0
4084	6bff1dbd0741ea32b1f366b9e	Jeremy Hunt distances himself from the advisor who 'overstepped the mark'	Jeremy Hunt clings on as SpAd quits over News Corp emails	2.0
306	721092f057d5b34f41876c37a	The boy is riding a tricycle.	A woman is riding a water scooter.	1.25
5642	40ed030173da28dcf04120224	Murray ends 77-year wait for British win	Murray wins Wimbledon title, ending Britain's 77-year agony	5.0
2992	c14b1bc2bc962a9cd03dffaf9	Security experts are warning that a new mass-mailing worm is spreading rapidly across the web, sometimes disguising itself as an email from the Microsoft founder.	A new worm has been spreading rapidly across the Internet, sometimes masquerading as an email from Microsoft Chairman Bill Gates, antivirus vendors said Monday.	4.8
1148	2b2773c8e2d238df3a0fa7e9b	Two people paddling in a red canoe surrounded by trees.	Two people were paddling in a yellow canoe down a river with trees in the background.	3.4
6537	5ff4d1155b25d5293f4d7f7c9	California's regions have distinct ecosystems, so it's recommended to focus on a specific area.	American black bears are common in some California wilderness areas, particularly in the mountains.	2.0
5961	b36face6604701608d1cc2c9d	A man is stirring ingredients in a bowl.	A man is cracking two eggs in a bowl with a fork.	2.75
1849	412a86f0075a8508c083570ed	The dog returns the play toy to its master.	Three dogs run together in the snow.	1.0
4776	bc7a83b7d6097bba936d2eedd	Seven people were killed in attacks in Iraq	27 people were killed in attacks across Iraq	2.0
5414	f17753105ae0325f26cdb795f	MERS respiratory illness found in U.S., officials confirm	The first case of MERS, a SARS-like respiratory illness, has been reported in North America.	4.2
2683	5b5e9b1f6aff31abfe16b81ef	We cannot stand idly by while a credit card lynching takes place, declared Rep. Major Owens (D-Brooklyn).	It's not pleasant for us to stand by and watch someone be subjected to a credit card lynching, he said.	3.5
1080	742e67006ce12301a0b89edbf	Two mountain goats are grazing at the entrance of an alpine lake.	Two animals are grazing near a mountain, next to a lake.	3.2
631	734cc04f394ddcf53278d4bef	A man is running.	A man is mooing.	1.0
8079	51183ec7360514859c70e4d55	It depends on what you'll do next and where you'll do it.	You need to decide how and where you want to place your foot and do it.	1.0
5519	5de7498df708c8ce04599664d	India and China sign border pact; 8 other agreements	India and China signed an agreement on trans-border rivers.	3.8
8407	a3e317955c0215e4e5bba5b26	Morsi takes oath of office, becomes Egyptian president	Morsi is set to take oath as Egypt's first civilian president.	3.8
6640	50049d3326ed05f4190d9b9fc	I'm not yet able to confirm if the phenomenon has an official name in political science.	There are two problems with your viewpoint, which explain the apparent contradiction that can be observed in your question.	0.4
2424	cd99f1819bb40fafec12359f8	Bush gets no credit for the budget under his administration.	And Obama gets no credit for the budget under his administration.	1.8
1780	57d7cd8b583f7716a00b0c456	Three dogs are playing in the water.	Three dogs are swimming in the water.	4.2
1380	5bafa4196aaac8648097b3b97	The white sheep is standing on the green hill.	A sheep is stationed on a hillside.	4.0
289	d2d500e55747c75800dfab5f3	A dog sat at the counter of a store.	The dog is standing at the counter.	2.6
4380	f8ed1ec5e10c9dac0663fbcef	Egyptian minister survives assassination attempt	The Syrian prime minister miraculously survived an assassination attempt.	1.6
1270	bd52c15cf9323234cb06454f5	A group of people was in a living room.	A group of four people strolling alongside a giant mushroom.	0.8
6478	cfb4e75be326b3844b0b1c74b	Properly executed weight training will improve, rather than decrease, your flexibility and mobility.	I've seen men who still have a lot of flexibility while lifting weights.	2.2
8273	1cd02dbc1ff161529d01cd8af	Thomas Ezzell, Ms Lafferty's lawyer, said: 'My understanding is that the success rate for frozen embryos is lower than expected.'	Ezzell said that my understanding of the situation is that there is a higher rate of unsuccessful cryopreserved fertilizations.	3.6
4358	a354b92809dac75b2572fdc79	Five people were killed in a coach crash in Belgium.	Five people, including teenagers, died in a Belgian bus crash.	3.8
4245	c873878b66555e776fd11dca8	Germany is expected to press Russia over the Syrian crisis.	What is Russia's stance on Syria? A brief guide.	1.0
6880	b1b2072de951c98b113c56dec	Mr. Heatley, who suffered a broken jaw and torn knee ligaments, faces several charges.	Heatley underwent surgery Saturday for a broken jaw and an MRI found two torn ligaments in his right knee.	2.25
2805	dbc5250605fa85a5a1d060328	Druce will face murder charges, Conte said.	Prosecutor Druce will be charged with murder.	5.0
5701	f2bc704e6da19ac2a485248e9	Egypt: IPI urges release of Al Jazeera journalist arrested in Berlin.	Egypt sentences Al Jazeera journalists to prison	1.0
5716	08c69cae6df3eb63b3f90e5d0	Li Na to declare her retirement.	US Senator Ted Cruz to announce presidential bid	0.0
1181	18da69454e4fb142ab8fef629	A man is sitting on the grass and looking towards the sky.	The man is standing on the sidewalk in front of a horse.	0.0
5135	3129f0e614003c26723f18b2a	Pro-Russian forces enter Ukrainian naval base in Crimea.	Crimean forces storm Ukrainian navy headquarters	3.8
2226	45c08fd9b7a76292ac359e508	Would you like to pay for your loved ones' healthcare?	Would you like to wear your seatbelt?	0.0
4569	bb8c0584cfd17216e8542fd25	South Africans mark Nelson Mandela's 95th birthday.	South Africa's former PM Nelson Mandela back in hospital	1.4
2096	029f480f86f4a20b94ae8b967	The most effective way to get money is to get rid of the lobby entirely.	The best way to turn it on its head is to get money out.	3.0
3081	2f2529c55c56eb3197b2976e4	The leading actress award went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.	Marissa Jaret Winokur, as Tracy, won for best actress in a musical.	4.0
342	6ffc30f165ff085d98889cf86	A dog is having fun in the snow.	A dog is swatting at a fly in the carpet before it leaves.	1.6
5990	3672c480b821c273f752e8237	A tiger is playing with his trainer.	A tiger attacks a man.	1.333
7588	27bbe7cd5a90260f99dfdf05c	A woman stands in front of a snow-covered building.	Two women and a baby stand in front of a dining room.	0.0
7	9b1765f52025765efe3086a97	The man is playing the piano.	The man is playing the guitar.	1.6
5337	aaa0141e4385d8181ea40511b	19 people were killed, 42 wounded in violent attacks in Iraq	43 people were killed, 86 wounded in attacks in Iraq	2.8
653	19a6e5f64ca8c5bfbe7c2842b	A woman is washing her hands.	A woman is styling her hair.	0.8
2662	2497e1c9f0c380efffb1979c0	Brent Newbury, the president of the Rockland County Patrolmen's Benevolent Association, was surrounded by reporters and photographers about 150 yards from the prison gates.	"""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association."	1.5
5119	d53167c93fa758da569381a8b	Janet Yellen will become the first woman to lead the Federal Reserve	The US Senate confirmed Janet Yellen as US Federal Reserve chief	4.6
3902	38dbaf32f015912fa34569fe7	Mali's future interim president prepares to take office	Pope takes aim at dissident priests over celibacy.	0.0
469	1dbccd8139e3561f2c8e6b81b	The man sat in his chair and stared.	The little girl is putting her hair into a ponytail.	0.0
3111	dbe04d3fcd06ce142cdae7ec0	SARS ultimately claimed the lives of 44 people in the Toronto area, including two nurses and a doctor.	The virus killed 44 people in the Toronto area, including one doctor and two nurses.	3.2
2370	334d68b518470a7721f52d4cc	You should stop prefixing or suffixing everything with you hate Jews.	"I don't prefix or suffix everything with ""you hate Jews."""	2.4
