	id	sentence1	sentence2	similarity
3049	a4a2b8a3bcac3379320238bfc	"sentenced to you by way of punishment is certainly more than enough,"" said 49-year-old, whose family, friends and supporters filled half the courtroom."	What has happened to you, sir, by way of punishment, is not more than enough, Covello said	3.0
416	3f33ec9a088d92efb5dfbddf2	A person is made a sandwich	A cat is licking its small belly	0.0
2919	27b649cdc3bd975e3d569516a	He was shot last night in Brooklyn but survived at Kings County Hospital Center, police said.	That victim, a New York critical but stable condition at the hospital.	3.25
3544	bc222e5c6f35763498b824bb3	government spokesman maseko stated that if necessary order the government of south africa cannot intervene to prevent weapons from being smuggled its territory to a neighboring landlocked country	spokesman said stated as long as administrative papers are in order south africa cannot allow or transport transported through south african territory to zimbabwe.	2.8
2567	653f351ead54e66f44f50d204	The tech-heavy Nasdaq Stock Markets fell slightly 1.16 points to 1,504.04.	The Nasdaq Composite index, full of technology stocks, fell 18 points.	2.2
2669	a425a49569534babf386a2fce	American Experience Arthur Miller Elia Kazan and the Blacklist: None Without a Day (Wednesday)	"Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."""	3.0
5402	9ef2444e774e5b640e71220e0	Covid [MASK] death toll climbs to 3,621	Coronavirus Cross says death toll rises to 68	0.4
4286	299789f0509ba3ef1d808b166	Syrian forces move into Aleppo	Syrian government forces To Retake City Of Aleppo	4.4
2585	0517f177d5dfdf59f461d8e0e	Three Weeks in October was released nearly a year after the Washington, D.C.-area sniper shootings started.	Moose's book came out on January 2002 year after the sniper shootings started in the Washington area.	3.25
8105	ac9673ac6be08f5567b78d6f7	Microwave would be the best bet.	The best bet is research.	0.0
5723	eadf9cb8eaae282352e0fc72f	China's generous 1MDB bid seen reaping it billions in rewards	China keeps an eye on Putin by Russian President	0.0
7449	7770ac29a127d2046e58d1518	The chef is slicing tofu.	The woman is putting on lipstick.	0.4
3480	e040c99df3a15cea6c43368aa	general nikolai n. believes that the state scientific center of applied microbiology has quite reliable systems of control in case of emergency	general nikolai n. urakov was the longtime director of the Russian National Research Center of Applied Microbiology.	2.4
2712	8c79eea6b20e1202fca9bacc8	Cisco has signed similar deals with Corp. T.N , deals Inc. SBC.N and Sprint Corp. FON.N .	Cisco merged with BellSouth competitors SBC Communications, AT&T and Sprint Communications.	4.0
7424	3ec3041ac990c7cf135d9bb07	a tall man is kicking a soccer ball	A man is performing tricks with a juggling ball.	2.6
8165	13983545795da6f3a6a8a0270	"Mr Smith yesterday that fate of the airline was ""in the hands of the negotiators""."	The future of BA is in the hands of the negotiators, Eddington said Corp. television news Sunday.	3.4
1902	ec99ce79336e385dcc7580176	An elderly woman holding a newspaper.	A man rollerblading down a street bar.	0.0
3930	8db4378a53db9cd05509d4c26	Thousands more desperate refugees flee to Europe overnight	8,000 Syrian refugees to Turkey overnight	3.8
702	718ae9559fcefb054890c3458	A man is walking a dog	a young woman is applying eye liner.	0.0
4786	e81277212bbace25cd8290105	North Korean cargo ship repair trade with Cuba	North Korean ship carrying Cuba missiles seized	2.8
3199	26aca6e3837056f879653fb89	Lowe's, with about half as many stores, reported a 33 percent increase in sales a 12 month in same-store sales	Home Depot reported a 22 percent increase in same-store sales.	1.4
4618	6fd6be1b31fa44c65b63a3cdc	Hushen 300 Index closes higher at 14	Hushen 300 Index closes lower at 12	2.0
3399	9605c614f0f2b3eb7d1d12205	The district also announced yesterday informing residents of the situation.	The company sent 500 letters informing them of the water contamination yesterday.	3.0
6658	34e18c460dfaa2c50915d66ec	Your brain is already beginning to wind down as you gaze the breathtaking sight.	I'm writing here a robot can help you with motivation.	0.4
8391	ac4d4d895d0ae868bbc882bcd	Tehran: EU sanctions won't affect into nuclear talks	Low hopes Iran nuclear talks	1.8
2685	5faf8278b3563b730a8251a22	The broader Standard & Poor's 500 Index .SPX fell 2 points 0.24 percent, down 977.	The Nasdaq Composite Index fell was down 6.52 points, or 0.39 percent at 1,645.66.	0.8
8533	1bf0b765c915011e3a45f5b53	Twelve people in bomb blast on Pakistani streets	Gunmen kill nine in Mexico Police	2.0
6360	36b9e2215efdd2de587092b9e	A man took his dog to the beach.	A man with a golden dog on the beach.	4.4
286	b083a7d2a2ccbab941e4f8dba	a young woman is slicing butter.	A woman eats tofu.	1.8
1630	b860efcf6884dc8d08c22598d	Three people glided on ice skates.	Three ice cream round a corner.	3.2
5455	f3f0798edd0073ed39efd1fe5	Philip was in hospital for 11 days	Patient leaves hospital after 10 days	1.8
503	632fdd25065e7edeffdd015c6	A man is playing the piano	A tall man is playing the flute.	2.2
682	c1b62fbf437c093b32cc8b142	A man dancing on the road.	A man is standing	3.25
8266	4c142990c0697c7a7311954f8	He was tracked to Atlanta and then arrested on Tuesday night.	He was arrested late on Monday night by police acting on a tip-off.	2.5
1410	9a5c2aa32427d292946cf0670	An old man lay on a leather couch.	Young couple sitting on the beach black couch	0.8
4411	0a1a3028d1e899b73917c1214	South Korean government backs reform of law on prostitution	China to consider ban on U.S. adoptions	0.8
4472	c1e86791e91d4d540671e607d	Boy Scouts delay decision on admitting girls	Boy Scouts of America delays lifting ban on gays	5.0
2293	7a6779ce66ae0cdff310f18bd	It's definitely NOT better used to be.	voted It's definitely NOT worth getting used to be.	4.0
191	585ffbb613ea73a2d23356afc	A woman is doing weight exercises.	A woman is brushing her hair.	0.5
3851	5241591ed3238d0e1147b3bbc	Iran will attack Tel Aviv if Israel strikes	a senior cleric: Iran will attack Tel Aviv if Israel strikes	4.4
3030	ae971e2708a47b1e2bd7d73b1	the government peace talks with the MILF, being brokered by Malaysia, after months of attacks, including three bombings, on Mindanao.	The government recently shelved peace talks indefinitely by neighbouring countries after a spate of violence in Mindanao, including three deadly bombings, that it blamed on the MILF.	4.25
6104	6d832e0a87306b04885cc6f36	I am sitting lying on couch with small fluffy dog.	A small boy laying on a sofa reading a book	4.0
590	56eae4a5777257e5406ffec05	A girl is styling her hair.	A girl is painting her nails.	1.25
3925	cf184f396669024d458b44f44	Two Kenyan ministers among 6 killed in a crash	Poland honors 96 people killed in 2010 Smolensk crash	0.8
3600	0b8207cb827770f68f47c3108	The Chinese government gave active cooperation to the organization for the prohibition of chemical weapons inspections.	the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons failed to reach an agreement in the meeting.	1.0
93	dbe21a66def6a5c8ac5aae3ca	A man is fishing.	a strong man is exercising.	0.5
5643	c7dfa36710361010c9ae88c38	Malaysia Airlines plane crashes on Sumatra - live	US: Russia claims troops on Ukraine Border	0.0
2930	c3bd05a9206a31e16562ee535	Two Kuwaitis and six Palestinians with Jordanian passports were among the 14 killed	They include two Kuwaitis and six Palestinians with Jordanian passports, and three are Iraqis an official said.	3.0
6464	e92cff761e51247d39a9667eb	Yes, this sentence will be clearer if you remove word instead of the slash.	Most style guides recommend against using the slash in phrases like “X and/or Y”, as well as  “this is hard/impossible to do”.	3.4
5987	a0ddb1cf663a4d308f31d83a0	A man plays guitar and sings.	A man is singing and playing a guitar.	5.0
8425	e6f5a5887ce64b0c27a34fada	The Syria violence amounts to a civil war-Red Cross	Widespread Syria violence qualifies as civil war -Red Cross	4.4
4772	77a6f30b7c1a610e4143888f2	Austrian found hoarding 56 stolen skulls in his home there	Austrian police after 56 human skulls are found in his home	4.4
4609	da39138289bd9371a55af8828	Suicide bomber kills 13 in Russia's south	Suicide bomber kills 16 in Russia’s Volgograd	1.8
2044	348038409677241213285fcf3	Fundimental math please?	Fundamental forces	4.6
4294	785d7dc09e5b6e972b0435300	Syria rebels leave eastern Homs	Syrian rebels retreat from eastern district	4.4
6622	2a1ec148282fbb3e834f9b71b	Here are Out of the 16k photos there, I'm sure some are with a d700.	It's a 1:1 lens, so that means that almost all of the subject will be in focus on the sensor.	0.6
6569	bc461da406baa53c81f13c414	Infants do recommend rice cereal as the first food is almost no worry of allergic reaction.	Eating off a spoon has to be an unusual experience for them.	0.67
1658	a35a2d8f9bc14a29ce84b538d	A black and white dog is running through the park	A black and white cat is running quickly grass.	4.8
5814	93db548149540ce947e38d8ad	A man is making his bed.	A young woman is playing a piano	0.0
3808	f78a5b9a692d6acf6c5218f73	U.S. officials may weigh no-fly zones for Syria	U.S. and Turkey disagree on Syria	2.2
4154	e7fd6928a2e0885f6d5e3bec4	Edwards Acquitted on hung Mistrial on Others	Edwards found not guilty on one count; mistrial on another	4.6
2385	e8cbf945733a394ac6ce5dbb4	I hope everything will be OK!	I hope everything is okay.	5.0
1208	2ff5ca5c2aaa0f0676fed831c	real dogs blend in with the stuffed animals.	Two friends a couch with many stuffed animals.	3.4
5589	71c0cb94d53f31f5a62ff9c8e	Israel agrees to a 12 hour ceasefire	Israel agreed to 24-hour ceasefire truce	3.0
5330	d57372d841f1a571f6883326e	International community makes case for action against Syria	Saudi Urges U.N. to Condemn Israel Strikes on Syria	2.4
64	73f32e3b9833149e3ab811816	A man is riding a motorcycle.	A robot is like a horse.	1.4
4612	5ed45992dbebde1b0ffbbb033	Eurozone inflation hits fresh record high	EU sets hits fresh record	4.4
822	d23c06ac04016a3ca85928d18	A friend playing the trumpet.	Someone is playing with a ball	0.8
4764	f0d2bfd69398a6dbeeb437745	Indian troops crossed a soldier along Kashmir line of control	Indian troops raid Pakistani military bases	1.2
1673	9ba5ebe5e24f31fa83f19968f	Three dogs are playing in the park	Three reindeer run in the snow.	1.4
2108	37b67896a1bb39f40dd09cd28	Originally Posted by SolInvictus The messahe of all the scriptures is	Originally Posted by Anonymous Ah.	2.4
7315	7c9db3c2452c062bdbf828e68	A woman is eating shrimp.	A sponge is squeezing water.	0.2
3119	24f20ffb5b505bf9aab791bc2	That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up and northern Virginia.	A protest led to clashes with police that caused huge traffic jams in downtown Washington and northern Virginia.	4.0
1473	2fb66378c2285c14059cc3a9d	A boat is on the water near a small private	A boat is in the water small airplane is on the ground	3.4
3845	a5fbed3d653c7652b6baf568c	A gunman was killed in Ohio school shooting	1 dead, 4 wounded in Ohio shooting	3.2
8591	a25baedf7b72193555c30b5ce	US Attorney General quits major spying scandal	Luxembourg expelled after spying row	2.2
3548	e687db7cd4dd81897ca192555	syria denies having an undeclared nuclear program	syria denies the existence of an undeclared nuclear program.	5.0
6470	4dfce823139feb2c8189a2bb5	Running downhill is the BEST way to strengthen your legs	Additionally often people tend to think it easier, but in fact, is often harder than an uphill marathon.	2.0
6295	ac8e5cd9555c2b5b6defdc0ef	A young boy has a wooden pole.	A curious boy crossed a bridge with a fishing pole.	3.0
7307	bf6585c17403a307e7a3fa297	Some men were sawing.	You are sawing logs.	3.4
1668	59e16ef17e88106ff7fd2fa1e	A man grabbed on to a rusty handle.	A man is holding onto handles tightly grasping air.	3.2
6607	767d1343e6a9119141266a74f	"I stared for a moment in silence ever learned anything about so-called ""complex"" or irrational numbers."	As others have already mentioned, numbers represent course abstractions.	1.2
5564	6af1e0b3112452bb05938be12	Five Star Movement leader Matteo Renzi expelled from Italy's parliament	Silvio Berlusconi expelled from Parliament	4.0
2670	64eca691f275e0e2b74aa907b	That package will increase to both retail sales and income taxes.	He strongly objects to the sales and personal income taxes in the package.	2.0
532	dad36cffa68aa1537da529b07	A cow is eating grass	a big cow is eating hay.	3.8
4951	6511428c5125ee9816a79c1aa	Algeria hostage crisis resulted in 37 death toll many	Algeria hostage crisis ends deadly bloodbath	3.8
291	3ec61509da6cad9f97d28555a	A woman is eating vegetables.	The chef is dicing garlic.	2.8
240	63be56cf0edaff226c119a2f9	Butter is melted in a pan	A man is melting butter in a pan.	3.6
7366	6ace39093d3d04659ef27583a	A man is cycling.	A boy is riding a bike	2.5
6094	bce4ccb72dd0ac9b47498b373	a beautiful woman leading a white horse.	A man in black tuxedo rode a white horse.	2.0
6451	3477ffafbb02c01b83225ddc8	Firstly, you should be aware of two different kinds of dashes: the en dash and the em dash.	It is to join sentences that can stand alone, but they joined to emphasize their relationship.	0.6
2182	d081d2e6a58be64d7edcf1a4f	those who ignore history are doomed to repeat it	ooo strike TWO those who ignore mistakes to repeat it.	4.2
6778	a463d265c29a31d7f16d395d3	Also in Afghanistan gunmen on Friday assassinated a Muslim tribal leader who backed the coalition.	Near a mosque in the northern part Mosul, rebel gunmen also assassinated a Muslim tribal leader who backed the coalition.	4.6
7504	1d9056822794a59560538fc29	A man with a bicycle rode a small house.	I rode my bicycle to patio of a coffee shop.	3.2
300	7db7b1c079319cdde9acb6b6a	A press splits garlic cloves.	A clove a head of garlic into cloves.	4.6
7183	3e7a806314092baee35a86b70	Fatah endorses Hamas recognise Israel	Pakistan Denounces Latest Drone Attack	0.2
6380	87f85ec6f77b2aaf49ca0977a	My answer would be depending on which GRE question type to?	What I see with the GREs is 130-170 scoring range is highly compressed.	1.0
5008	09f282023dfb20f0fdb6e5f75	EU extends sanctions against Russia	US authorities brought arms trafficking charges against Russian sailors	0.4
8506	6cc392351fde45ffd30747977	Nobel Prize winning author Gabriel Garcia Marquez dies	Nobel laureate Doris Kuhlmann at 94	4.6
5917	b738763c8976be86a5d8dfc18	A young man is playing a guitar.	A man is cleaning his cd.	0.833
3290	68f851d412641f73dfbd90aac	The shooting victim was taken to Kings County Hospital Center, where he later died, officials said.	The victim, 32-year-old was not expected to Kings County Hospital where he was pronounced dead.	4.333
3813	4c2b3928824ad9c818c3d21f0	Rimsha finally released on bail	Mandela released himself from the hospital	0.0
6882	14496245616cac9c477900633	U.S. court ruled that the Akron-based company should have determined that changes at one of its plants reduced overall pollution emissions.	FirstEnergy should have determined that modernizing one grid increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.	3.6
8099	75d09f96e7f92a57e4b65d3e6	It depends on what you want to do next, and where you want to do it.	It matters what and where you are going to do.	4.0
7381	72a47723e3636eefada583323	A man is eating a potato.	A very funny man is not a potato.	2.6
542	55d812d1b63222879a2022c48	A brave man dives into a pool.	A man is diving the pool.	5.0
4166	5a2acac295226b2047fe3fe76	British engineer of artificial intelligence changes career to Cambridge	Archbishop of Canterbury to step down amid controversy	2.4
989	c26c80c5f431b822163b86337	A friend is playing a guitar.	A pianist playing a keyboard between the people.	1.0
4336	37067a627b89e8b9ca4ef32b1	US lawmakers take next step towards new Russia sanctions	Somalia lawmakers to elect a new president	0.2
4758	9b55d7c47ae0e000cd42fa7d7	It is not possible solo action against Syria	US makes case for action now	3.4
1835	6251aa65604a22ed851035fe9	A little boy clowns with a colander spoon	A boy with bright shiny colander on his head.	4.2
5749	781d9ddccc8e4b846c5243335	A man with a hard hat walked	A man wore a hard hat while dancing.	5.0
162	3c2a5f9920f45285a1595a5f9	A man plays a flute in a band.	A man is playing electric guitar.	1.6
3348	b6d73b37035c2f84c038b3574	State police said as many as 100 were trapped immediately after the explosion	As many thousands 30 people were believed to be trapped inside initially, local state authorities said.	4.0
5538	225c1bfc8088648c9313da029	Iran's president condemns use of chemical in Syria	Russia alleged discovery of chemical weapons in Syria	1.6
2927	eca32cbbcf67b2edb14721230	The woman was hospitalized June 15, Kansas health officials said	Missouri health officials said he had not been infected is recovering.	1.0
3310	1c77276e6cd38039eb773c546	Garner said the self-proclaimed leader of Yemen Mohammed Mohsen al-Zubaidi, was killed after being in coalition custody.	Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his arrest	4.25
4147	779da7aa3f31fd6fe60c72e7a	At least 80 dead in powerful quakes	At least dead, 1,300 injured in northwest Iran earthquakes	2.6
7880	14dae3d300d8b5dc7180db457	You do not need to worry.	You don't have to worry.	5.0
8619	d074076d1d5ddbc8f10480eda	Dr. Smith emerges new NLC president	Waiting for the next president	1.0
600	bc397b9a6c2442ea25ba19256	A boy and a girl were dancing in the rain.	a young	2.6
8317	03579f967829fcba472316e12	Kollar-Kotelly has scheduled another antitrust review compliance hearing for January.	The committee scheduled another oversight hearing for late October	2.8
8534	36505ea99561f48d91cd3e940	Powerful quake strikes off coast	Powerful 7.3 quake strikes off eastern Indonesia	4.0
5483	47e240789153c755fa49f892d	3 people 1 hurt in a S Carolina oceanfront motel	4 dead, 30 injured in train collision crash	0.2
6584	db2eddf490ac3fd88934e0b56	Cover the floor to the doorway edge carpet and use a staple guns to secure it.	I started to dig into this because you caught my attention the question...	0.0
4084	6bff1dbd0741ea32b1f366b9e	Jeremy Hunt distances himself from adviser Dominic Cummings the scandal	Australian Prime Minister clings tightly as SpAd quits over News Corp emails	2.0
306	721092f057d5b34f41876c37a	A little boy is riding a red tricycle.	A young woman is riding a jet ski water scooter.	1.25
5642	40ed030173da28dcf04120224	Murray will not wait for British win	Murray wins Wimbledon title ends Britain's 77-year drought	5.0
2992	c14b1bc2bc962a9cd03dffaf9	Security experts are warning that a Sasser mass-mailing worm is spreading rapidly across Europe as e-mail from the Microsoft founder.	A new worm has been spreading rapidly across the Internet, sometimes pretending to be fake Microsoft Chairman Bill Gates, antivirus vendors said recently	4.8
1148	2b2773c8e2d238df3a0fa7e9b	Two people paddling in a red canoe with trees in the background	Two people padding in a serene river with trees in the background.	3.4
6537	5ff4d1155b25d5293f4d7f7c9	Different parts of California have different climates so you should focus narrow the region.	American black bears They are somewhat common in some western areas of Rocky mountains.	2.0
5961	b36face6604701608d1cc2c9d	A chef is stirring ingredients in a large bowl.	A man cracks eggs in a bowl with a fork.	2.75
1849	412a86f0075a8508c083570ed	The dog loves to play with toy to its master.	Three dogs played in the snow today	1.0
4776	bc7a83b7d6097bba936d2eedd	7 killed in explosions Iraq	At least 12 people killed in attacks across Iraq	2.0
5414	f17753105ae0325f26cdb795f	MERS respiratory virus found in U.S., officials confirm	First case detected SARS-like respiratory illness, reported in North America	4.2
2683	5b5e9b1f6aff31abfe16b81ef	We cannot want to stand by and let a credit card lynching take place Owens (D-Brooklyn).	"""We don't want to stand by and see a credit card lynching take place,"" he said."	3.5
1080	742e67006ce12301a0b89edbf	Two mountain goats grazing in front of serene tranquil lake.	Two animals grazing next to a serene calm body of water.	3.2
631	734cc04f394ddcf53278d4bef	a tired man is running.	A man is mooing.	1.0
8079	51183ec7360514859c70e4d55	It is not clear what I want to do next, and where you want to do it.	You need to pick how and where you want to place your furniture	1.0
5519	5de7498df708c8ce04599664d	India, China ink border agreement 8 other nations	Sign a ink agreement on trans-border rivers	3.8
8407	a3e317955c0215e4e5bba5b26	Mursi took the oath and held office, becomes Egyptian president	Morsi to take oath as first civilian president	3.8
6640	50049d3326ed05f4190d9b9fc	I'm not yet able to answer questions an official PoliSci name.	There are 2 problems with you presented in the question, which explain the seeming contradiction.	0.4
2424	cd99f1819bb40fafec12359f8	Bush gets zero credit for failures under him.	And, Obama gets slammed criticized for the budget under him.	1.8
1780	57d7cd8b583f7716a00b0c456	Three kids are playing in the water.	Three fish swimming in the water.	4.2
1380	5bafa4196aaac8648097b3b97	A big white sheep is standing on the green grass	A sheep grazes a hillside.	4.0
289	d2d500e55747c75800dfab5f3	A dog sat on counter of a store.	The dog is standing at the door	2.6
4380	f8ed1ec5e10c9dac0663fbcef	Indian minister survives assassination attempt	Syrian prime minister assassination attempt	1.6
1270	bd52c15cf9323234cb06454f5	A group of people entered a conference room.	A group of four people walking past a giant mushroom.	0.8
6478	cfb4e75be326b3844b0b1c74b	Properly executed weight training will improve not decrease, your overall mobility.	I've known guys that are still very flexible while playing	2.2
8273	1cd02dbc1ff161529d01cd8af	Ms Lafferty's lawyer, Thomas Ezzell, limited understanding of this is that there is a lower percentage of successful impregnations with frozen.	My understanding of this is that there is a percentage of embryos impregnations with frozen,	3.6
4358	a354b92809dac75b2572fdc79	Five people in Belgian coach crash	Teenagers among 5 dead in India bus crash	3.8
4245	c873878b66555e776fd11dca8	NATO to Press Russia on Syrian Crisis	What is Russia thinking on Syria? A brief analysis	1.0
6880	b1b2072de951c98b113c56dec	Mr. Heatley, who suffered a broken ankle and torn knee ligaments faces multiple charges.	Heatley missed Saturday for a broken jaw and required MRI found two torn ligaments in his right knee.	2.25
2805	dbc5250605fa85a5a1d060328	Druce will pay charges, Conte said.	Conte said Druce will be charged with murder	5.0
5701	f2bc704e6da19ac2a485248e9	Egypt: several Release of Al Jazeera journalists Arrested in Berlin	Egypt sentences many journalists to jail	1.0
5716	08c69cae6df3eb63b3f90e5d0	Li Na has announced her retirement	Sources say Ted Cruz to announce presidential bid	0.0
1181	18da69454e4fb142ab8fef629	A man sat on the grass looking toward sunset	A tall man is standing near the gate in front of the horse.	0.0
5135	3129f0e614003c26723f18b2a	Pro-Russians forces enter Crimea naval base in Ukraine	Crimean forces attacked Ukrainian navy headquarters	3.8
2226	45c08fd9b7a76292ac359e508	Would you like to pay for others health insurance	Would you like to wear a hat	0.0
4569	bb8c0584cfd17216e8542fd25	Many elderly Africans mark ailing Nelson Mandela 95th birthday	South Africa's former PM Nelson Mandela back in prison	1.4
2096	029f480f86f4a20b94ae8b967	Best way to get money out is to cash lobby, all of it.	Best way on its head is to get money out.	3.0
3081	2f2529c55c56eb3197b2976e4	The leading actress energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.	Marissa Jaret Winokur, as Tracy, won Tony actress in a musical.	4.0
342	6ffc30f165ff085d98889cf86	A dog is playing in the snow.	a small dog is trying a fly in the carpet before it.	1.6
5990	3672c480b821c273f752e8237	My robot is playing with his trainer.	A tiger eats a man.	1.333
7588	27bbe7cd5a90260f99dfdf05c	A woman stands in front of a building proudly	Two women and a man walked in front of a dining room.	0.0
7	9b1765f52025765efe3086a97	The man is playing beautiful piano.	A skilled man is playing the guitar.	1.6
5337	aaa0141e4385d8181ea40511b	19 killed, 42 wounded in violent attacks yesterday	43 killed, many wounded in attacks in Iraq	2.8
653	19a6e5f64ca8c5bfbe7c2842b	A woman is washing her hands.	A beautiful woman is straightening her hair	0.8
2662	2497e1c9f0c380efffb1979c0	Standing outside and photographers about 150 yards from the prison gates was Brent Newbury, president of International Order of Police Benevolent Association.	"""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association."	1.5
5119	d53167c93fa758da569381a8b	Janet wants to become the next to lead the Federal Reserve	US Senate confirms Janet Yellen as US Federal Reserve chief	4.6
3902	38dbaf32f015912fa34569fe7	The next future interim president readies to take office	Pope criticizes dissident priests on celibacy	0.0
469	1dbccd8139e3561f2c8e6b81b	The man sat in worn chair and stared.	The little girl is putting her hair into a ponytail.	0.0
3111	dbe04d3fcd06ce142cdae7ec0	SARS spread to claim the lives of 44 people Toronto area, including two nurses and a doctor.	The virus spread in the Toronto area, including a doctor and two nurses.	3.2
2370	334d68b518470a7721f52d4cc	You should stop prefixing or suffixing everything with you hate Jews.	I don't condone or suffix everything with 'you hate Jews.'	2.4
6631	8fad2db9f1c7825dafea3d151	Federal DOMA does not test federal credit clause so much as the 9th and 10th Amendments to the Constitution	DOMA as a congressional statute violates Full Faith and Credit Clause of the Constitution.	4.0
2634	a55780047efffc5c9dc862dad	Under Kansas law, it is illegal for children under the age of 16 to have sexual relations.	In the opinion, Kline noted that it is illegal for children that young to have sexual relations.	2.75
5508	2a0db8950fc6c9dba0f3042da	Reportedly considering to buy Bristol-Myers Squibb out of diabetes alliance	AstraZeneca to buy Bristol out of pipeline for up to $4.1 billion	5.0
3726	df111db3af805ffc00d6e4472	The book describes the drug conveys a completely positive image.	the official stated that this nuclear technology transfer.	0.0
4500	d41c3e356d53ecd3e0a5144c0	Two men charged with terrorism offences	Saudi-born Osama bin Laden with terrorism in New York	1.8
2207	786c3522d40dcaa501ac61a5a	I had gotten soft since Rand.	I said YOU had very soft.	1.2
6546	25b4eb88b90130e44f12ede84	Different parts of the world support different wildlife, so you should probably narrow the region.	You can get a rough idea an online calorie estimation website.	0.0
5145	970b26fa1a04f26224468f5d0	Egypt poll: 98 percent vote 'yes' for new constitution	Egypt holding key discussions on constitution	2.4
7785	2a7e1e989c308c6acd4c5eb7e	a robot working at local steel mill	A man working at a foundry.	3.4
8205	1921569d29dfd0b81366bd294	The injured were taken to hospitals nearby and Columbia, a small town about 30 miles to the east	The injured were taken to hospitals in Jefferson City and Columbia, near north; their conditions were not available.	4.0
1739	abda1f42ae31e88931618945f	An old man in a black trench coat standing in the rain	The baby is wearing a red onesie and a hat in a plaza.	1.2
3623	a92f720eceb8c9352ca31bd59	29 people arrested quang ninh people's court of participating in drug trafficking trafficked heroin from vietnam to china.	court official tran dao stated that 12 people were among 29 people convicted by the quang ninh people's court a case that trafficked heroin from vietnam to china.	3.4
5953	70aa4dde520c0c033d1a75540	A man is riding on a boat.	A man is controlling the machine.	0.4
