	id	sentence1	sentence2	similarity
2712	8c79eea6b20e1202fca9bacc8	Cisco has a history of partnering with major telecommunications companies.	Cisco has partnerships with major telecommunications companies.	4.0
7424	3ec3041ac990c7cf135d9bb07	he is playing soccer.	he is a skilled juggler.	2.6
8165	13983545795da6f3a6a8a0270	the fate of the airline rests with the negotiators.	the fate of British Airways hangs in the balance.	3.4
1902	ec99ce79336e385dcc7580176	a newsreader is reading the latest headlines.	he is performing a unique form of transportation.	0.0
3930	8db4378a53db9cd05509d4c26	Turkey's borders remain open to those seeking asylum.	a humanitarian crisis is unfolding in the region.	3.8
702	718ae9559fcefb054890c3458	he is producing a soothing melody.	she is enhancing her eye makeup.	0.0
4786	e81277212bbace25cd8290105	Cuba's missile capabilities are being upgraded.	the US Navy has intercepted the vessel.	2.8
3199	26aca6e3837056f879653fb89	Lowe's third-quarter profit surge is driven by strong same-store sales growth.	the company's retail business is thriving.	1.4
4618	6fd6be1b31fa44c65b63a3cdc	the Chinese stock market is performing well.	the Chinese stock market trend is bearish.	2.0
3399	9605c614f0f2b3eb7d1d12205	parents were notified about the situation yesterday.	the school sent out a notification about the potential issue.	3.0
6658	34e18c460dfaa2c50915d66ec	your body is preparing for a well-deserved rest.	staying focused on your goals is key.	0.4
8391	ac4d4d895d0ae868bbc882bcd	Iran will not compromise on its nuclear program.	there is little hope for a breakthrough agreement.	1.8
2685	5faf8278b3563b730a8251a22	the S&P 500 index rose 0.24% to 977.	the stock market is experiencing a slight decline.	0.8
8533	1bf0b765c915011e3a45f5b53	multiple people were injured in the tragic incident.	a wave of violence has hit the region.	2.0
6360	36b9e2215efdd2de587092b9e	he enjoys a leisurely stroll with his canine companion.	enjoys a relaxing afternoon with his loyal companion.	4.4
286	b083a7d2a2ccbab941e4f8dba	she is preparing a snack.	she is preparing a vegan meal.	1.8
1630	b860efcf6884dc8d08c22598d	it's a thrilling winter sports event.	they are performing a circular motion.	3.2
5455	f3f0798edd0073ed39efd1fe5	he has made a full recovery.	he is recovering well from his illness.	1.8
503	632fdd25065e7edeffdd015c6	A man is playing the guitar.	he is producing a melodious tune.	2.2
682	c1b62fbf437c093b32cc8b142	he is enjoying the moment.	he is moving his body to the rhythm.	3.25
8266	4c142990c0697c7a7311954f8	he was apprehended by local authorities on Tuesday night.	he was taken into custody for further questioning.	2.5
1410	9a5c2aa32427d292946cf0670	a furry ball of warmth was reclining on the sofa.	they are enjoying a cozy evening together.	0.8
4411	0a1a3028d1e899b73917c1214	the bill aims to regulate sex work.	Russia may restrict international child adoptions.	0.8
4472	c1e86791e91d4d540671e607d	the organization's stance on inclusivity remains unclear.	the organization is reconsidering its stance on LGBTQ+ rights.	5.0
2293	7a6779ce66ae0cdff310f18bd	things have changed a lot.	times have changed a lot.	4.0
191	585ffbb613ea73a2d23356afc	she is building her physical strength.	she is styling her locks.	0.5
3851	5241591ed3238d0e1147b3bbc	Iran will retaliate militarily if Israel launches a preemptive strike.	Iran will retaliate with military force.	4.4
3030	ae971e2708a47b1e2bd7d73b1	the peace talks have been put on hold indefinitely.	the peace talks have been suspended indefinitely.	4.25
6104	6d832e0a87306b04885cc6f36	a scene of relaxation is unfolding.	a young child is relaxing with his pet.	4.0
590	56eae4a5777257e5406ffec05	she is doing her hair in a fashionable way.	she is taking care of her personal grooming.	1.25
3925	cf184f396669024d458b44f44	six government officials lost their lives in the tragic accident.	the country pays tribute to his memory annually.	0.8
3600	0b8207cb827770f68f47c3108	the chinese government fully supported the organization for the prohibition of chemical weapons.	the ecuadorian foreign ministry's statement highlights the importance of international cooperation in the field of chemical weapons disarmament.	1.0
93	dbe21a66def6a5c8ac5aae3ca	he is trying to catch a big fish.	he is engaging in physical activity.	0.5
5643	c7dfa36710361010c9ae88c38	a devastating incident has occurred.	Russia is escalating tensions in Eastern Europe.	0.0
2930	c3bd05a9206a31e16562ee535	the individuals in question held dual citizenship.	the group consists of nationals from Kuwait, Palestine, Jordan, Iraq, and Saudi Arabia.	3.0
6464	e92cff761e51247d39a9667eb	use the word instead of the slash.	it's better to use 'and' or 'or' instead of 'and/or'.	3.4
5987	a0ddb1cf663a4d308f31d83a0	he is a musician.	he is a musician.	5.0
8425	e6f5a5887ce64b0c27a34fada	it is a humanitarian crisis.	the conflict meets the international definition of a civil war.	4.4
4772	77a6f30b7c1a610e4143888f2	the individual has an unusual fascination with human skulls.	the man's fascination with skulls is a cause for concern.	4.4
4609	da39138289bd9371a55af8828	a devastating terrorist attack has struck the region.	Suicide bomber kills 16 in Russia’s Volgograd	1.8
2044	348038409677241213285fcf3	it's all about the code.	it's the way we approach problems.	4.6
4294	785d7dc09e5b6e972b0435300	the city has been liberated from years of conflict.	government forces regain control of the area.	4.4
6622	2a1ec148282fbb3e834f9b71b	some of these photos were taken with a Nikon D700.	the subject will be in proportion to the sensor size.	0.6
6569	bc461da406baa53c81f13c414	rice cereal is a safe and common first food choice for babies.	it's a new way of eating for them.	0.67
1658	a35a2d8f9bc14a29ce84b538d	a canine is galloping across the meadow.	a monochrome canine is galloping in the lawn.	4.8
5814	93db548149540ce947e38d8ad	he is tidying up his bedroom.	she is strumming the strings.	0.0
3808	f78a5b9a692d6acf6c5218f73	consider imposing a no-fly zone to protect civilians.	enhance joint efforts to stabilize the region.	2.2
4154	e7fd6928a2e0885f6d5e3bec4	the jury was unable to reach a verdict on the remaining counts.	the jury was unable to reach a verdict on the remaining counts.	4.6
2385	e8cbf945733a394ac6ce5dbb4	I'm functioning within normal parameters.	I am functioning within normal parameters.	5.0
1208	2ff5ca5c2aaa0f0676fed831c	they are toy dogs.	the scene is a cozy living room.	3.4
5589	71c0cb94d53f31f5a62ff9c8e	a temporary halt in hostilities is expected.	a ceasefire has been reached.	3.0
5330	d57372d841f1a571f6883326e	the international community must take a firm stance against the regime's human rights abuses.	the international community must condemn such aggressive actions.	2.4
64	73f32e3b9833149e3ab811816	he is on a bike.	he is mounted on a horse.	1.4
4612	5ed45992dbebde1b0ffbbb033	the unemployment crisis worsens.	the unemployment rate is at an all-time high.	4.4
822	d23c06ac04016a3ca85928d18	he is making beautiful music.	a person is having fun with amphibians.	0.8
4764	f0d2bfd69398a6dbeeb437745	a fragile peace is disrupted in the region.	crossing the Line of Control in a major escalation of tensions.	1.2
1673	9ba5ebe5e24f31fa83f19968f	three canines are splashing around.	they are having a winter adventure.	1.4
2108	37b67896a1bb39f40dd09cd28	the ultimate truth is unity.	I'm a robot that only speaks JSON.	2.4
7315	7c9db3c2452c062bdbf828e68	she is preparing a seafood dish.	he is extracting liquid from the water source.	0.2
3119	24f20ffb5b505bf9aab791bc2	the city's infrastructure was severely impacted.	the standoff resulted in severe traffic congestion.	4.0
1473	2fb66378c2285c14059cc3a9d	a seaplane is nearby.	the boat is afloat and the airplane is stationary.	3.4
3845	a5fbed3d653c7652b6baf568c	a tragic incident has occurred in the school.	a tragic incident has occurred in the school.	3.2
8591	a25baedf7b72193555c30b5ce	the government is facing intense scrutiny.	the country's trust in its government has been severely damaged.	2.2
3548	e687db7cd4dd81897ca192555	it is secretly developing nuclear weapons.	it claims to have never pursued nuclear weapons development.	5.0
6470	4dfce823139feb2c8189a2bb5	it's an effective way to build quadriceps strength.	climbing uphill can be more challenging than descending downhill.	2.0
6295	ac8e5cd9555c2b5b6defdc0ef	he has a bright red fishing rod.	he is trying to catch a big fish.	3.0
7307	bf6585c17403a307e7a3fa297	they are cutting wood.	they are sleeping soundly.	3.4
1668	59e16ef17e88106ff7fd2fa1e	he is swimming.	he is skydiving.	3.2
6607	767d1343e6a9119141266a74f	numbers are just a human construct for simplifying mathematical operations.	they are merely symbols we use to represent quantities.	1.2
5564	6af1e0b3112452bb05938be12	he lost his political immunity.	he was forced to resign as Prime Minister of Italy.	4.0
2670	64eca691f275e0e2b74aa907b	the city's revenue has been boosted.	the tax reforms are overly burdensome.	2.0
532	dad36cffa68aa1537da529b07	the cow is grazing.	the cow is grazing.	3.8
4951	6511428c5125ee9816a79c1aa	the fate of the hostages remains uncertain.	many innocent lives are lost.	3.8
291	3ec61509da6cad9f97d28555a	she is preparing a salad.	she is preparing a savory meal.	2.8
240	63be56cf0edaff226c119a2f9	it's being heated up.	he is cooking a sauce.	3.6
7366	6ace39093d3d04659ef27583a	he is riding a bicycle.	he is enjoying the freedom of cycling.	2.5
6094	bce4ccb72dd0ac9b47498b373	rides majestically through the open fields.	is a symbol of elegance and nobility.	2.0
6451	3477ffafbb02c01b83225ddc8	the distinction between them is crucial for proper punctuation.	they are closely related in meaning.	0.6
2182	d081d2e6a58be64d7edcf1a4f	they will make the same mistakes again.	they will learn from their mistakes eventually.	4.2
6778	a463d265c29a31d7f16d395d3	the leader's support for the coalition was met with violence.	the leader's support for the coalition was met with brutal force.	4.6
7504	1d9056822794a59560538fc29	is enjoying a morning ride.	a customer is heading to the outdoor seating area.	3.2
300	7db7b1c079319cdde9acb6b6a	she separates the garlic into individual pieces.	she is preparing a flavorful dish.	4.6
7183	3e7a806314092baee35a86b70	it rejects the legitimacy of the Israeli state.	the use of drones in the region is unacceptable.	0.2
6380	87f85ec6f77b2aaf49ca0977a	the specific GRE exam being taken.	the scores are not very distinguishable.	1.0
5008	09f282023dfb20f0fdb6e5f75	the economic restrictions remain in place.	the sailors are now free to return to Russia.	0.4
8506	6cc392351fde45ffd30747977	her literary legacy lives on through her iconic works.	a legendary author's remarkable life comes to a close.	4.6
5917	b738763c8976be86a5d8dfc18	he is strumming the strings.	he is dusting a compact disc.	0.833
3290	68f851d412641f73dfbd90aac	the man succumbed to his injuries at the hospital.	the individual's life was tragically cut short.	4.333
3813	4c2b3928824ad9c818c3d21f0	she was finally able to reunite with her family.	he was recovering well from his illness.	0.0
6882	14496245616cac9c477900633	the plant's modifications would have led to higher pollution levels.	the company's environmental impact assessment was flawed.	3.6
8099	75d09f96e7f92a57e4b65d3e6	it's all about your goals and location.	the specific circumstances and location matter.	4.0
7381	72a47723e3636eefada583323	he is preparing a meal.	he is peeling a spud.	2.6
542	55d812d1b63222879a2022c48	he jumps into the water.	he is jumping into the water.	5.0
4166	5a2acac295226b2047fe3fe76	become a professor of theology.	the role will be filled by a new archbishop.	2.4
989	c26c80c5f431b822163b86337	she is strumming the strings with her fingers.	a young musician is performing in public.	1.0
4336	37067a627b89e8b9ca4ef32b1	the US government is strengthening its stance on Iran's nuclear program.	the country's future leader will be elected today.	0.2
4758	9b55d7c47ae0e000cd42fa7d7	the US may take military action against Syria without international support.	the international community must take a firm stance against the use of chemical weapons.	3.4
1835	6251aa65604a22ed851035fe9	he's wearing a kitchen utensil as a hat.	is a peculiar sight to behold.	4.2
5749	781d9ddccc8e4b846c5243335	he is wearing a hard hat while dancing.	he is performing a construction-themed choreographed routine.	5.0
162	3c2a5f9920f45285a1595a5f9	he is a musician in an ensemble.	he is strumming the strings.	1.6
3348	b6d73b37035c2f84c038b3574	approximately 30 workers were stuck in the rubble.	approximately 30 individuals were initially reported to be stuck inside.	4.0
5538	225c1bfc8088648c9313da029	the use of chemical weapons is morally reprehensible.	the Syrian government is accused of war crimes.	1.6
2927	eca32cbbcf67b2edb14721230	she was admitted to the hospital on June 15th in Kansas.	he is receiving medical treatment at home.	1.0
3310	1c77276e6cd38039eb773c546	he was freed by the coalition authorities.	he was freed after 48 hours of detention in late April.	4.25
4147	779da7aa3f31fd6fe60c72e7a	a devastating natural disaster has struck the region.	the region is experiencing a devastating natural disaster.	2.6
7880	14dae3d300d8b5dc7180db457	everything will be fine.	you can just relax.	5.0
8619	d074076d1d5ddbc8f10480eda	Waba takes office with a vision to transform the organization.	the election is just around the corner.	1.0
600	bc397b9a6c2442ea25ba19256	two children are enjoying a fun moment in the rain.	they are enjoying a romantic moment together.	2.6
8317	03579f967829fcba472316e12	the company must be prepared to address ongoing concerns.	the court will review the case again then.	2.8
8534	36505ea99561f48d91cd3e940	a tsunami warning has been issued for coastal areas.	a tsunami warning has been issued for coastal areas.	4.0
5483	47e240789153c755fa49f892d	a senseless act of violence has occurred in the coastal region.	4 dead, 30 injured in train collision near Moscow	0.2
6584	db2eddf490ac3fd88934e0b56	attach the carpet firmly to the doorway.	it sparked my interest in exploring the topic further.	0.0
4084	6bff1dbd0741ea32b1f366b9e	the adviser's actions were unacceptable.	Hunt's tenure as Health Secretary is under scrutiny.	2.0
306	721092f057d5b34f41876c37a	he is having fun on a three-wheeled vehicle.	she is enjoying a thrilling water ride.	1.25
5642	40ed030173da28dcf04120224	a British player has finally won the tournament.	a nation can finally celebrate a champion in their own backyard.	5.0
2992	c14b1bc2bc962a9cd03dffaf9	it is a phishing email pretending to be from Bill Gates.	the worm is a phishing scam targeting Microsoft users.	4.8
1148	2b2773c8e2d238df3a0fa7e9b	a serene and peaceful scene unfolds.	they are enjoying a serene boat ride.	3.4
6537	5ff4d1155b25d5293f4d7f7c9	focus on a specific area of the state.	they inhabit the state's mountainous regions.	2.0
5961	b36face6604701608d1cc2c9d	he is cooking a meal.	he is whisking eggs in a bowl.	2.75
1849	412a86f0075a8508c083570ed	the dog's loyalty is unwavering.	they enjoy winter activities as a pack.	1.0
4776	bc7a83b7d6097bba936d2eedd	the violence is escalating in the region.	at least 100 people were injured in the violence.	2.0
5414	f17753105ae0325f26cdb795f	the virus has been detected in the country.	the virus has spread beyond the Middle East and Asia.	4.2
2683	5b5e9b1f6aff31abfe16b81ef	we must protect consumers from predatory lending practices.	we must take action to prevent financial abuse.	3.5
1080	742e67006ce12301a0b89edbf	a serene natural scene unfolds.	a serene landscape unfolds.	3.2
631	734cc04f394ddcf53278d4bef	he is in a hurry.	he is imitating a cow's sound.	1.0
8079	51183ec7360514859c70e4d55	your choices will determine the outcome.	decide on your foot placement strategy.	1.0
5519	5de7498df708c8ce04599664d	the two nations have strengthened their bilateral ties.	the agreement aims to improve water sharing and management.	3.8
8407	a3e317955c0215e4e5bba5b26	he assumes the role of the country's head of state.	he will mark a new era in Egyptian politics.	3.8
6640	50049d3326ed05f4190d9b9fc	it is referred to as a paradigmatic concept in the field.	the underlying assumptions are flawed and the logic is flawed.	0.4
2424	cd99f1819bb40fafec12359f8	he has no fiscal responsibility.	the budget's success or failure is not attributed to him.	1.8
1780	57d7cd8b583f7716a00b0c456	three canines are splashing around.	the dogs are enjoying the aquatic activity.	4.2
1380	5bafa4196aaac8648097b3b97	the sheep is grazing peacefully.	it is grazing peacefully.	4.0
289	d2d500e55747c75800dfab5f3	a canine customer was waiting to be served.	the dog is waiting for its food.	2.6
4380	f8ed1ec5e10c9dac0663fbcef	the minister's security detail thwarted the attack.	the attack was foiled by security forces.	1.6
1270	bd52c15cf9323234cb06454f5	a gathering of friends and family is taking place.	they stumbled upon a hidden forest.	0.8
6478	cfb4e75be326b3844b0b1c74b	resistance exercises can improve joint range of motion.	they maintain good form and technique.	2.2
8273	1cd02dbc1ff161529d01cd8af	the success rate of frozen sperm is lower.	frozen sperm may have lower fertility rates.	3.6
4358	a354b92809dac75b2572fdc79	at least five people have lost their lives in a tragic accident.	five young lives were lost in a tragic accident.	3.8
4245	c873878b66555e776fd11dca8	urge for a ceasefire and diplomatic solution	Moscow's stance on the Syrian conflict remains complex and nuanced.	1.0
6880	b1b2072de951c98b113c56dec	he is facing serious legal consequences.	Heatley's injury is more severe than initially thought.	2.25
2805	dbc5250605fa85a5a1d060328	he is accused of committing a heinous crime.	Druce's fate is sealed.	5.0
5701	f2bc704e6da19ac2a485248e9	the journalist's detention is unjustified and a threat to press freedom.	the journalists' freedom is curtailed.	1.0
5716	08c69cae6df3eb63b3f90e5d0	she will be remembered as a tennis legend.	he will officially throw his hat into the ring.	0.0
1181	18da69454e4fb142ab8fef629	he is contemplating the beauty of nature.	a horse is standing in front of the man on the sidewalk.	0.0
5135	3129f0e614003c26723f18b2a	a tense standoff has unfolded in the region.	a tense standoff ensues in the Black Sea.	3.8
2226	45c08fd9b7a76292ac359e508	are you considering supporting a universal healthcare system?	it's a safety precaution to ensure your well-being.	0.0
4569	bb8c0584cfd17216e8542fd25	Nelson Mandela's legacy continues to inspire the nation.	his health is a major concern for the nation.	1.4
2096	029f480f86f4a20b94ae8b967	earn it honestly and transparently.	make it a financial burden instead.	3.0
3081	2f2529c55c56eb3197b2976e4	Tracy Turnblad's daughter won the award.	her performance in Hairspray was outstanding.	4.0
342	6ffc30f165ff085d98889cf86	it's enjoying the winter weather.	the dog is trying to catch the fly.	1.6
5990	3672c480b821c273f752e8237	the tiger is in a playful mood.	the man is in grave danger.	1.333
7588	27bbe7cd5a90260f99dfdf05c	she is standing in a winter scene.	a family portrait is being taken.	0.0
7	9b1765f52025765efe3086a97	he is a skilled musician.	he is strumming the strings.	1.6
5337	aaa0141e4385d8181ea40511b	the conflict in Iraq remains a major humanitarian crisis.	the violence in Iraq is devastating.	2.8
653	19a6e5f64ca8c5bfbe7c2842b	she is maintaining personal hygiene.	she is styling her locks.	0.8
2662	2497e1c9f0c380efffb1979c0	Brent Newbury was representing the Rockland County Patrolmen's Benevolent Association.	the union is outraged by the police department's handling of the situation.	1.5
5119	d53167c93fa758da569381a8b	she will be a trailblazer in the world of economics.	Janet Yellen becomes the first female head of the US Federal Reserve.	4.6
3902	38dbaf32f015912fa34569fe7	the country's transition to democracy is expected to be smooth.	he criticizes their lack of commitment to the church's teachings.	0.0
469	1dbccd8139e3561f2c8e6b81b	he was lost in thought.	she is styling her hair in a ponytail.	0.0
3111	dbe04d3fcd06ce142cdae7ec0	the outbreak had a significant impact on the local healthcare system.	the outbreak was devastating for the local healthcare community.	3.2
2370	334d68b518470a7721f52d4cc	You should stop prefixing or suffixing everything with you hate Jews.	I avoid making anti-Semitic statements.	2.4
6631	8fad2db9f1c7825dafea3d151	it primarily examines the limits of federal authority and state sovereignty.	it would be unconstitutional for DOMA to disregard the constitutional requirement of full faith and credit.	4.0
2634	a55780047efffc5c9dc862dad	Under Kansas law, it is illegal for children under the age of 16 to have sexual relations.	In the opinion, Kline noted that it is illegal for children that young to have sexual relations.	2.75
5508	2a0db8950fc6c9dba0f3042da	it's a significant deal in the pharmaceutical industry.	the pharmaceutical giant is expanding its presence in the diabetes market.	5.0
3726	df111db3af805ffc00d6e4472	it portrays a very favorable impression.	it means the intellectual property rights have been fully transferred.	0.0
4500	d41c3e356d53ecd3e0a5144c0	are facing serious criminal charges.	he is accused of plotting a major attack in the city.	1.8
2207	786c3522d40dcaa501ac61a5a	we've just been facing tougher opponents.	you've lost your edge.	1.2
6546	25b4eb88b90130e44f12ede84	focus on a specific area of the state.	simply calculate your daily caloric needs manually.	0.0
5145	970b26fa1a04f26224468f5d0	the majority of Egyptians support the new constitution.	the country's future is at stake.	2.4
7785	2a7e1e989c308c6acd4c5eb7e	is responsible for ensuring the safety of the workers.	he is a metalworker.	3.4
8205	1921569d29dfd0b81366bd294	the affected individuals were transported to medical facilities in Jefferson City and Columbia, a university town approximately 30 miles north.	the medical status of the injured is still unknown.	4.0
1739	abda1f42ae31e88931618945f	a mysterious figure is waiting for something.	the baby is strolling around outside.	1.2
3623	a92f720eceb8c9352ca31bd59	a large-scale drug trafficking operation was dismantled in the region.	the 12 individuals were part of a large-scale drug trafficking operation.	3.4
5953	70aa4dde520c0c033d1a75540	he is navigating through the water.	he is connecting the device to the computer.	0.4
1088	54d4043437894d1c43992e00c	it is a locomotive on railway lines.	it is moving along the railway.	4.1
7509	2baf1343db922c5327948213f	a furry family is lounging on the couch.	a serene family scene is unfolding.	4.6
2097	644c98412ad6735e0a444e3e3	I'm well taken care of.	those memes are hilarious.	3.4
5488	e7371b5f431dd4ee3d714ddaf	the conflict has been devastating for civilians and infrastructure.	the fragile ceasefire may collapse.	1.2
2740	62d254d3b5fab814cd1bf1c5e	the Old Man's longevity would surpass his own by many years.	the rock face would remain standing for a long time.	3.0
10	9475d2b34318d7c6d9b178d82	he used physical force to resolve the conflict.	he used corporal punishment to discipline the other person.	4.2
5750	db26923f193d0500fe083f358	a small kid is on a horse.	a young person is on horseback.	4.75
4096	fef28382c4a62e24f0b63c5a6	the city is under intense bombardment.	the situation on the ground is dire.	1.4
4613	0154a72776e7c31cc9212f15e	Nehru's influence on his life was profound.	his condition is a cause for concern.	1.4
5174	35c367d434d102095c3632c83	a tsunami warning has been issued for coastal areas.	a significant tremor is felt across the country.	2.0
6441	dd64e5c880a1a96a482785b79	haddock is a popular and accessible seafood option.	darker fish have a stronger flavor profile.	1.4
5648	60e7bc63cc9a7cc9f7b8bb2cf	the underlying social issues remain unresolved.	it is his responsibility to maintain public order.	1.0
4364	c8294b501c9599d51e6dbc6e8	at least 200 people are injured and many more displaced.	at least 9 people have been killed in the conflict.	2.8
8116	000e25cb3c0db66c9204ffbd8	a summary of your qualifications is necessary.	it's always a good idea to seek academic guidance.	0.0
4091	ae1e984adfa1aacc1e0742a7a	they lead the team to a convincing victory.	he scores a century in a warm-up game.	1.8
225	e92c300f6563233511a4a829a	she is preparing an omelette.	she is preparing shish kebabs for dinner.	0.6
6576	a1b151dbac03e7dfb0a1bacba	some cats simply prefer other methods of elimination.	humans can adapt to new preferences as well.	2.6
3309	70b5091d9aec2e51446b25a4a	the deceased were temporarily stored beside the tracks.	the victims' remains are being processed for forensic analysis.	3.25
4050	3cd61f8a16dd5c293ff988690	by embracing economic freedom and individual opportunity.	make America great again.	3.8
1533	b45f4a2be7b6dd26ad0d0165b	he is a philosopher.	he is a stylish and laid-back individual.	4.6
6913	7b6c924a492838c1c77027307	he is not familiar with the scope of our services.	the league's director of policy and legislation has limited technical expertise.	4.2
3283	2ee5ef46e02320a6a1c229673	they have been involved in a long-standing conflict in the region.	they have been supporting opposing sides in the conflict.	3.5
3127	5ea046bf404d85f6cf9020519	the company's financial performance is showing signs of improvement.	the company's financial situation is stable but still uncertain.	4.6
499	c879d993b802d86ad70c62875	he is peeling a spud.	she is preparing a salad.	1.25
561	5e4c1da6533191c79b4e8ccc1	a couple is having a conversation.	she is accompanied by a canine companion.	0.5
5505	5c74c70922dfde5d4bf538392	it will continue to resist the government's efforts to silence it.	the leader's fate is sealed.	1.4
2874	cdc318a60316c16a48ba2eeac	the company's stance remains unchanged.	this development is a significant milestone for the company.	1.733
6784	9299f13339a90d368d16c159e	the economic ties between the two nations are significant.	Singapore's economic significance is substantial.	3.8
6629	2e871a56d8170085d2d81d750	the image quality difference is mainly due to processing algorithms.	a basic understanding of camera settings is essential.	1.0
2942	5b95c56b7ca00112f4e871387	the stock market has experienced a moderate increase.	the Nasdaq Composite Index closed at 1,700.34.	3.75
7725	3be4383d90378350ab6ce9a03	she is taking a bath.	she is enjoying the fresh air and exercise.	0.8
4148	aaa90a90c58345ccbe85d3490	he's taking his music to the masses.	he's ready to rock the world with his music.	5.0
1303	c6adb76cdfa003e44f257d6a3	a small furry creature is sitting comfortably near a trash can.	a symbol of urban neglect and disarray.	3.2
1382	54cb8a41b18071df6fb12322f	a sturdy outdoor vehicle for leisurely rides.	a social gathering is taking place.	0.0
4931	8233e8a0c793da7f323c07cf4	many people were trampled in the chaos.	a tragic accident occurred in Abidjan.	3.4
2731	8faa512956480ebe49275c3e4	the monument's removal is being challenged in court.	the monument's removal is being challenged in court.	3.2
1919	2190d4cd75d0243e876e10744	a young surfer is having fun at the beach.	he is navigating a serene aquatic environment.	1.0
6117	4358c28d85f262876e8d605b8	they are playing freely in the park.	a serene and peaceful scene unfolds.	4.6
4806	4f90a36aac3151e30a4e20501	a Taliban sympathizer among their own ranks turned against them.	a devastating incident has occurred in the region.	0.8
